    
   HH* 
   HH*,HN* 
   HN* 
* *  HN*,HG*,HL* 
* * * BHZ 
* * * BHZ,HHZ 
AU AS08,WTPK,MABG,WR4,WB9,WB2,WR3,AS05,WR1,WR5,AS02,WC2,CTA,WR2,WB7,AS13,AS19,WC1,AS15,YARR,WB10,AS09,AS14,WC4,AS06,WR6,AS16,WR9,AS03,AS12,WB4,MAW,FITZ,AS18,OKDL,WB1,AS17,WR8,NWAO,AS07,WR10,WR7,WB8,AS10,AS04,AS11,WB5,STKA,AS01,WC3,WB6,AS31,PHB,WB3,CATI  BH?,HH?,SH?,HN?,EH? 
GE BANI  BH?,HH? 
IM ZAB3,LPAZB,ZAA2,TOB1,YKW1,YKB6,YKW4,TOA2,ZAB5,YKB1,YKR5,MK32,ZAB2,YKB2,YKR6,ZAA1,ZAB1,YKB7,BOSAB,TOA3,ZAB4,YKR1,PLCAB,ZAA0,TOB4,YKR2,YKB3,TOB3,YKW3,TOB5,YKB9,YKB4,BATI,TOA1,ZAA3,YKR3,YKB0,YKR9,TOB2,YKW2  BH?,HH?,SH? 
NZ    
NZ   BN? 
NZ   BN?,HN? 
NZ *   
NZ PHHS 20 HNZ 
NZ PIPS 20 HN1 
NZ PIPS 20 HN2 
NZ PIPS 20 HNZ 
NZ PKGZ 20 HNE 
NZ PKGZ 20 HNN 
NZ PKGZ 20 HNZ 
NZ PKIS 20 HN1 
NZ PKIS 20 HN2 
NZ PKIS 20 HNZ 
NZ PNBS 20 HN1 
NZ PNBS 20 HN2 
NZ PNBS 20 HNZ 
NZ PNMS 20 HN1 
NZ PNMS 20 HN2 
NZ PNMS 20 HNZ 
NZ PNRS 20 HN1 
NZ PNRS 20 HN2 
NZ PNRS 20 HNZ 
NZ POKS 20 HN1 
NZ POKS 20 HN2 
NZ POKS 20 HNZ 
NZ POTS 20 HN1 
NZ POTS 20 HN2 
NZ POTS 20 HNZ 
NZ PPHS 20 HN1 
NZ PPHS 20 HN2 
NZ PPHS 20 HNZ 
NZ PRPC 20 HN1 
NZ PRPC 20 HN2 
NZ PRPC 20 HNZ 
NZ PTHS 20 HN1 
NZ PTHS 20 HN2 
NZ PTHS 20 HNZ 
NZ PTOS 20 HN1 
NZ PTOS 20 HN2 
NZ PTOS 20 HNZ 
NZ PUZ 10 HHE 
NZ PUZ 10 HHN 
NZ PUZ 10 HHZ 
NZ PUZ 20 HNE 
NZ PUZ 20 HNN 
NZ PUZ 20 HNZ 
NZ PVCS 20 HN1 
NZ PVCS 20 HN2 
NZ PVCS 20 HNZ 
NZ PWES 20 HN1 
NZ PWES 20 HN2 
NZ PWES 20 HNZ 
NZ PXZ 10 HHZ 
NZ PYZ 10 HHZ 
NZ QCCS 20 HN1 
NZ QCCS 20 HN2 
NZ QCCS 20 HNZ 
NZ QRZ 10 HHZ 
NZ QRZ 20 HNE 
NZ QRZ 20 HNN 
NZ QRZ 20 HNZ 
NZ QTPS 20 HN1 
NZ QTPS 20 HN2 
NZ QTPS 20 HNZ 
NZ RATZ 10 HHZ 
NZ RCBS 21 HN1 
NZ RCBS 21 HN2 
NZ RCBS 21 HNZ 
NZ RDCS 20 HN1 
NZ RDCS 20 HN2 
NZ RDCS 20 HNZ 
NZ REHS 20 HN1 
NZ REHS 20 HN2 
NZ REHS 20 HNZ 
NZ RHBS 21 HN1 
NZ RHBS 21 HN2 
NZ RHBS 21 HNZ 
NZ RHSC 20 HN1 
NZ RHSC 20 HN2 
NZ RHSC 20 HNZ 
NZ RIZ 10 HHZ 
NZ RKAC 20 HN1 
NZ RKAC 20 HN2 
NZ RKAC 20 HNZ 
NZ ROLC 20 HN1 
NZ ROLC 20 HN2 
NZ ROLC 20 HNZ 
NZ ROTS 20 HN1 
NZ ROTS 20 HN2 
NZ ROTS 20 HNZ 
NZ RPCS 20 HN1 
NZ RPCS 20 HN2 
NZ RPCS 20 HNZ 
NZ RPZ 10 BHZ 
NZ RPZ 10 HHZ 
NZ RPZ 20 HNE 
NZ RPZ 20 HNN 
NZ RPZ 20 HNZ 
NZ RRKS 20 HN1 
NZ RRKS 20 HN2 
NZ RRKS 20 HNZ 
NZ RTZ 10 HHZ 
NZ RTZ 20 HNE 
NZ RTZ 20 HNN 
NZ RTZ 20 HNZ 
NZ SACS 20 HN1 
NZ SACS 20 HN2 
NZ SACS 20 HNZ 
NZ SBRC 20 HN1 
NZ SBRC 20 HN2 
NZ SBRC 20 HNZ 
NZ SCAC 20 HN1 
NZ SCAC 20 HN2 
NZ SCAC 20 HNZ 
NZ SEAS 20 HN1 
NZ SEAS 20 HN2 
NZ SEAS 20 HNZ 
NZ SEDS 20 HN1 
NZ SEDS 20 HN2 
NZ SEDS 20 HNZ 
NZ SEVS 21 HN1 
NZ SEVS 21 HN2 
NZ SEVS 21 HNZ 
NZ SHLC 20 HN1 
NZ SHLC 20 HN2 
NZ SHLC 20 HNZ 
NZ SJFS 20 HN1 
NZ SJFS 20 HN2 
NZ SJFS 20 HNZ 
NZ SKFS 20 HN1 
NZ SKFS 20 HN2 
NZ SKFS 20 HNZ 
NZ SLRC 20 HN1 
NZ SLRC 20 HN2 
